iter	Passed	Remaining
0	14	14088
1	40	20047
2	58	19450
3	79	19908
4	97	19447
5	114	18890
6	128	18262
7	141	17495
8	157	17328
9	172	17098
10	184	16624
11	197	16228
12	209	15874
13	220	15523
14	235	15476
15	249	15361
16	262	15166
17	274	15001
18	287	14864
19	299	14687
20	321	14972
21	347	15436
22	364	15469
23	378	15386
24	392	15305
25	407	15280
26	421	15177
27	434	15066
28	446	14954
29	457	14805
30	481	15054
31	504	15256
32	524	15382
33	544	15473
34	557	15365
35	571	15308
36	586	15268
37	601	15225
38	610	15044
39	624	14981
40	635	14858
41	647	14771
42	658	14665
43	669	14539
44	698	14832
45	711	14753
46	731	14840
47	743	14751
48	757	14702
49	771	14653
50	787	14661
51	799	14581
52	811	14501
53	824	14437
54	835	14358
55	847	14292
56	863	14278
57	875	14220
58	886	14139
59	897	14068
60	910	14008
61	927	14026
62	942	14014
63	963	14097
64	980	14104
65	992	14050
66	1006	14011
67	1014	13911
68	1032	13927
69	1044	13879
70	1061	13890
71	1072	13828
72	1085	13786
73	1097	13731
74	1109	13685
75	1135	13799
76	1146	13743
77	1157	13685
78	1170	13649
79	1182	13603
80	1192	13535
81	1204	13481
82	1218	13460
83	1230	13422
84	1242	13376
85	1253	13323
86	1261	13239
87	1275	13217
88	1289	13203
89	1307	13218
90	1321	13199
91	1334	13168
92	1353	13197
93	1378	13289
94	1433	13657
95	1456	13718
96	1475	13731
97	1494	13754
98	1522	13852
99	1532	13795
100	1544	13746
101	1550	13654
102	1570	13677
103	1601	13796
104	1613	13753
105	1627	13723
106	1637	13669
107	1647	13604
108	1660	13571
109	1673	13541
110	1685	13496
111	1697	13455
112	1710	13426
113	1722	13388
114	1736	13360
115	1745	13299
116	1756	13254
117	1769	13224
118	1778	13169
119	1790	13131
120	1801	13090
121	1815	13068
122	1821	12990
123	1838	12988
124	1852	12964
125	1866	12949
126	1896	13037
127	1908	13003
128	1920	12966
129	1933	12937
130	1948	12927
131	1964	12918
132	1976	12886
133	1987	12845
134	1997	12797
135	2010	12769
136	2021	12736
137	2036	12718
138	2047	12684
139	2059	12650
140	2073	12629
141	2085	12601
142	2097	12572
143	2107	12529
144	2117	12487
145	2130	12461
146	2139	12416
147	2149	12376
148	2163	12358
149	2176	12332
150	2191	12323
151	2202	12288
152	2213	12256
153	2226	12230
154	2239	12206
155	2255	12200
156	2267	12173
157	2290	12207
158	2310	12221
159	2322	12191
160	2341	12201
161	2352	12168
162	2376	12200
163	2392	12198
164	2406	12179
165	2418	12150
166	2430	12123
167	2441	12089
168	2453	12062
169	2466	12040
170	2493	12088
171	2508	12077
172	2521	12051
173	2532	12022
174	2549	12017
175	2561	11991
176	2574	11969
177	2587	11946
178	2598	11917
179	2609	11885
180	2614	11831
181	2626	11805
182	2638	11778
183	2650	11756
184	2660	11722
185	2670	11686
186	2684	11669
187	2697	11650
188	2712	11638
189	2728	11630
190	2748	11643
191	2777	11690
192	2797	11695
193	2808	11666
194	2822	11651
195	2838	11643
196	2853	11632
197	2865	11605
198	2877	11581
199	2887	11550
200	2900	11529
201	2912	11506
202	2929	11500
203	2944	11489
204	2957	11467
205	2969	11445
206	2981	11422
207	2993	11399
208	3004	11371
209	3017	11350
210	3032	11339
211	3046	11323
212	3057	11297
213	3071	11282
214	3085	11265
215	3097	11242
216	3108	11216
217	3122	11201
218	3133	11174
219	3143	11144
220	3154	11118
221	3174	11124
222	3197	11141
223	3221	11159
224	3241	11164
225	3252	11139
226	3268	11129
227	3283	11118
228	3296	11097
229	3314	11096
230	3336	11106
231	3403	11267
232	3421	11262
233	3436	11249
234	3452	11238
235	3473	11244
236	3500	11268
237	3523	11281
238	3536	11259
239	3546	11229
240	3569	11242
241	3589	11243
242	3609	11244
243	3627	11238
244	3695	11386
245	3718	11397
246	3732	11377
247	3749	11370
248	3781	11406
249	3798	11395
250	3810	11372
251	3828	11364
252	3841	11342
253	3876	11384
254	3895	11381
255	3920	11393
256	3932	11369
257	3948	11355
258	3969	11357
259	3993	11365
260	4007	11345
261	4033	11362
262	4044	11333
263	4055	11304
264	4066	11278
265	4076	11250
266	4087	11221
267	4098	11194
268	4110	11168
269	4122	11144
270	4136	11126
271	4146	11098
272	4161	11083
273	4176	11065
274	4186	11037
275	4196	11008
276	4206	10978
277	4217	10952
278	4229	10929
279	4239	10901
280	4250	10874
281	4269	10871
282	4284	10855
283	4300	10840
284	4312	10818
285	4324	10797
286	4334	10769
287	4344	10741
288	4355	10716
289	4366	10690
290	4377	10666
291	4388	10640
292	4399	10615
293	4410	10591
294	4421	10566
295	4433	10544
296	4444	10519
297	4453	10491
298	4464	10467
299	4475	10442
300	4487	10420
301	4502	10405
302	4530	10421
303	4558	10435
304	4574	10423
305	4596	10424
306	4659	10519
307	4684	10524
308	4697	10505
309	4713	10491
310	4733	10487
311	4748	10471
312	4763	10456
313	4783	10450
314	4812	10464
315	4835	10466
316	4849	10449
317	4863	10430
318	4877	10412
319	4894	10400
320	4907	10380
321	4920	10359
322	4936	10347
323	4951	10331
324	4964	10310
325	4979	10295
326	4991	10273
327	5004	10253
328	5019	10238
329	5032	10216
330	5042	10191
331	5053	10167
332	5067	10150
333	5084	10139
334	5105	10135
335	5122	10123
336	5146	10125
337	5167	10120
338	5180	10100
339	5193	10081
340	5205	10060
341	5220	10043
342	5234	10026
343	5250	10013
344	5263	9992
345	5275	9972
346	5288	9951
347	5309	9947
348	5324	9931
349	5337	9911
350	5347	9888
351	5360	9868
352	5373	9848
353	5395	9845
354	5414	9837
355	5425	9815
356	5438	9795
357	5450	9774
358	5461	9751
359	5473	9730
360	5486	9711
361	5500	9693
362	5517	9681
363	5530	9662
364	5555	9665
365	5577	9661
366	5599	9658
367	5613	9641
368	5626	9621
369	5639	9601
370	5649	9579
371	5662	9559
372	5674	9537
373	5687	9519
374	5704	9508
375	5721	9495
376	5733	9474
377	5752	9464
378	5763	9444
379	5774	9421
380	5783	9395
381	5794	9374
382	5808	9357
383	5819	9334
